,X,Twilight,Rise,Deleted,Marker,Inserted,Twilight3,Marker3
283,283,26/11/2016 10:20,FALSE,FALSE,0,FALSE,26/11/2016 10:20,0
284,284,26/11/2016 21:13,TRUE,FALSE,0,FALSE,26/11/2016 21:13,0
285,285,27/11/2016 10:17,FALSE,FALSE,0,FALSE,27/11/2016 10:17,0
286,286,27/11/2016 21:19,TRUE,FALSE,0,FALSE,27/11/2016 21:19,0
287,287,28/11/2016 10:10,FALSE,FALSE,0,FALSE,28/11/2016 10:10,0
288,288,28/11/2016 21:11,TRUE,FALSE,0,FALSE,28/11/2016 21:11,0
289,289,29/11/2016 10:14,FALSE,FALSE,0,FALSE,29/11/2016 10:14,0
290,290,29/11/2016 21:17,TRUE,FALSE,0,FALSE,29/11/2016 21:17,0
291,291,30/11/2016 10:17,FALSE,FALSE,0,FALSE,30/11/2016 10:17,0
292,292,30/11/2016 21:19,TRUE,FALSE,0,FALSE,30/11/2016 21:19,0
293,293,01/12/2016 10:12,FALSE,FALSE,0,FALSE,01/12/2016 10:12,0
294,294,01/12/2016 21:28,TRUE,FALSE,0,FALSE,01/12/2016 21:28,0
295,295,02/12/2016 10:15,FALSE,FALSE,0,FALSE,02/12/2016 10:15,0
296,296,02/12/2016 21:29,TRUE,FALSE,0,FALSE,02/12/2016 21:29,0
297,297,03/12/2016 10:21,FALSE,FALSE,0,FALSE,03/12/2016 10:21,0
298,298,03/12/2016 21:13,TRUE,FALSE,0,FALSE,03/12/2016 21:13,0
299,299,04/12/2016 10:14,FALSE,FALSE,0,FALSE,04/12/2016 10:14,0
300,300,04/12/2016 21:32,TRUE,FALSE,0,FALSE,04/12/2016 21:32,0
301,301,05/12/2016 09:55,FALSE,FALSE,0,FALSE,05/12/2016 09:55,0
302,302,05/12/2016 21:16,TRUE,FALSE,0,FALSE,05/12/2016 21:16,0
303,303,06/12/2016 10:26,FALSE,FALSE,0,FALSE,06/12/2016 10:26,0
304,304,06/12/2016 21:15,TRUE,FALSE,0,FALSE,06/12/2016 21:15,0
305,305,07/12/2016 10:29,FALSE,FALSE,0,FALSE,07/12/2016 10:29,0
306,306,07/12/2016 21:19,TRUE,FALSE,0,FALSE,07/12/2016 21:19,0
